PREMIUM(Rs),MODE,AGE,GENDER,M/ STATUS,DESIGNATION TYPE,TERM,PLAN TYPE,PAYMENT METHOD,AGENT EXPERIENCE
5500,M,28,M,SINGLE,LABOUR,25,MEDICAL,ONLINE,ABOVE 5 YRS
52689,H,26,F,SINGLE,MIDDLE,30,MEDICAL,ONLINE,ABOVE 5 YRS
12812,M,36,M,SINGLE,MIDDLE,25,MEDICAL,ONLINE,ABOVE 5 YRS
18050,Y,45,F,MARRIED,HIGHER,20,INVESTMENT,ONLINE,ABOVE 5 YRS
3429,M,38,M,MARRIED,LOWER,22,PENSION,STO,ABOVE 5 YRS
18050,Y,42,M,MARRIED,HIGHER,20,INVESTMENT,ONLINE,ABOVE 5 YRS
144646,Y,36,M,MARRIED,HIGHER,25,MEDICAL,DIRECT PAY,ABOVE 5 YRS
25418,Y,23,M,SINGLE,HIGHER,20,MEDICAL,STO,BELOW 5 YRS
18050,Y,53,F,MARRIED,HIGHER,15,INVESTMENT,STO,BELOW 5 YRS
18050,Y,42,F,MARRIED,MIDDLE,15,INVESTMENT,DIRECT PAY,BELOW 5 YRS
14090,Q,37,M,MARRIED,HIGHER,30,INVESTMENT,ONLINE,BELOW 5 YRS
7387,M,21,M,SINGLE,HIGHER,30,MEDICAL,STO,BELOW 5 YRS
5197,M,31,M,MARRIED,MIDDLE,18,EDUCATION,ONLINE,BELOW 5 YRS
28240,M,41,M,DIVORCED,MIDDLE,30,MEDICAL,DIRECT PAY,BELOW 5 YRS
500050,Y,54,M,MARRIED,HIGHER,21,INVESTMENT,CHEQUE,ABOVE 5 YRS
12712,M,32,M,MARRIED,MIDDLE,30,MEDICAL,ONLINE,ABOVE 5 YRS
60796,Y,34,M,SINGLE,HIGHER,28,MEDICAL,ONLINE,ABOVE 5 YRS
71125,Q,40,M,MARRIED,HIGHER,30,MEDICAL,STO,ABOVE 5 YRS
5769,M,35,M,MARRIED,MIDDLE,30,INVESTMENT,ONLINE,ABOVE 5 YRS
187812,Y,44,M,MARRIED,HIGHER,29,MEDICAL,ONLINE,ABOVE 5 YRS
74661,Y,37,M,MARRIED,MIDDLE,30,MEDICAL,ONLINE,ABOVE 5 YRS
92921,Y,30,M,MARRIED,MIDDLE,25,MEDICAL,ONLINE,ABOVE 5 YRS
4684,M,27,M,MARRIED,MIDDLE,30,MEDICAL,ONLINE,ABOVE 5 YRS
10048,M,31,M,SINGLE,HIGHER,30,MEDICAL,ONLINE,ABOVE 5 YRS
12713,M,39,M,MARRIED,HIGHER,30,MEDICAL,STO,ABOVE 5 YRS
21740,Q,49,M,MARRIED,MIDDLE,10,PROTECTION,ONLINE,ABOVE 5 YRS
5344,M,37,F,SINGLE,MIDDLE,30,MEDICAL,ONLINE,ABOVE 5 YRS
18770,Y,35,M,MARRIED,MIDDLE,18,EDUCATION,STO,ABOVE 5 YRS
5012,M,59,F,MARRIED,HIGHER,17,INVESTMENT,STO,ABOVE 5 YRS
6659,M,39,M,MARRIED,HIGHER,17,EDUCATION,DIRECT PAY,ABOVE 5 YRS
11379,Q,37,M,SINGLE,MIDDLE,24,PENSION,DIRECT PAY,ABOVE 5 YRS
6771,M,29,F,MARRIED,MIDDLE,30,MEDICAL,ONLINE,ABOVE 5 YRS
128081,Y,37,M,MARRIED,HIGHER,16,EDUCATION,ONLINE,ABOVE 5 YRS
100050,Y,44,M,MARRIED,HIGHER,30,INVESTMENT,STO,ABOVE 5 YRS
5687,M,47,F,MARRIED,HIGHER,15,PENSION,ONLINE,ABOVE 5 YRS
28790,Y,36,M,SINGLE,HIGHER,30,MEDICAL,ONLINE,ABOVE 5 YRS
15500,M,57,F,MARRIED,HIGHER,20,INVESTMENT,STO,ABOVE 5 YRS
75050,Y,37,M,MARRIED,HIGHER,30,INVESTMENT,ONLINE,BELOW 5 YRS
30035,Q,42,F,MARRIED,MIDDLE,15,INVESTMENT,DIRECT PAY,BELOW 5 YRS
6076,M,37,M,MARRIED,MIDDLE,20,MEDICAL,STO,BELOW 5 YRS
5841,M,34,M,MARRIED,MIDDLE,30,MEDICAL,DIRECT PAY,BELOW 5 YRS
122463,Y,40,M,MARRIED,HIGHER,25,MEDICAL,STO,BELOW 5 YRS
20027,M,47,M,MARRIED,HIGHER,30,INVESTMENT,CHEQUE,BELOW 5 YRS
36014,Q,42,M,MARRIED,HIGHER,30,MEDICAL,ONLINE,BELOW 5 YRS
6013,M,39,M,MARRIED,HIGHER,30,INVESTMENT,STO,BELOW 5 YRS
5000,M,37,M,MARRIED,MIDDLE,30,PROTECTION,ONLINE,BELOW 5 YRS
10017,M,24,F,SINGLE,HIGHER,30,INVESTMENT,STO,BELOW 5 YRS
4127,M,46,F,SINGLE,MIDDLE,30,MEDICAL,STO,ABOVE 5 YRS
82046,H,48,M,MARRIED,HIGHER,30,MEDICAL,STO,ABOVE 5 YRS
9493,M,30,F,SINGLE,MIDDLE,30,MEDICAL,STO,ABOVE 5 YRS
6405,M,32,M,MARRIED,MIDDLE,30,MEDICAL,STO,ABOVE 5 YRS
10632,M,48,F,MARRIED,HIGHER,26,MEDICAL,DIRECT PAY,ABOVE 5 YRS
39595,Y,51,F,MARRIED,LOWER,17,PENSION,DIRECT PAY,ABOVE 5 YRS
6958,M,31,M,MARRIED,MIDDLE,30,MEDICAL,ONLINE,ABOVE 5 YRS
3067,M,27,M,SINGLE,MIDDLE,30,INVESTMENT,ONLINE,ABOVE 5 YRS
24204,Q,25,M,SINGLE,HIGHER,20,MEDICAL,ONLINE,ABOVE 5 YRS
36970,H,35,M,MARRIED,MIDDLE,27,MEDICAL,STO,ABOVE 5 YRS
